ids,date,Date_Only,Year,Month,Month_Name,Day,Hour,DayName,DayOfWeek,Week,Time_Period,user,text,Sentiment,Sentiment_Label,VADER_Score,VADER_Category,Text_Length,Word_Count,Has_URL,Has_Mention,Has_Hashtag,Brand
1792722014,2009-05-14 00:01:38,2009-05-14,2009,5,May,14,0,Thursday,3,20,Night,chris_m_mason,@MyAppleStuff Bon voyage. Wave if you pass Hampshire. ,1,Positive,0.0,Neutral,54,8,0,1,0,Apple
2221530269,2009-06-18 05:33:15,2009-06-18,2009,6,June,18,5,Thursday,3,25,Night,Davejane,"@brianarhoades unfortunately you can't yet. AT&amp;T's fault, not Apple. Should b ready by late summer ",0,Negative,0.3309,Positive,103,15,0,1,0,Apple
1968620763,2009-05-29 21:50:01,2009-05-29,2009,5,May,29,21,Friday,4,22,Evening,Baconfeed,@skibumbrian777 no see? hawaiin pizza is just wrong - it has warm pineapple. and ham. try harder next time  #B.. http://tinyurl.com/m5sso9,1,Positive,-0.5267,Negative,138,21,1,1,1,Apple
2065265596,2009-06-07 08:14:20,2009-06-07,2009,6,June,7,8,Sunday,6,23,Morning,dvydra,"I'll admit to a wee bit of PrÄ envy. Apple, get on background IM, better google integration and a complete ui refresh in 4.0 please ",1,Positive,0.5994,Positive,133,25,0,0,0,Apple
1956452195,2009-05-28 21:54:37,2009-05-28,2009,5,May,28,21,Thursday,3,22,Evening,bebs_kie,@mrdumbapples oniichan? Haha. lol. Eat na Kiah. Eat Eat Eat eat. ,1,Positive,0.7003,Positive,65,11,0,1,0,Apple
2048871528,2009-06-05 15:54:55,2009-06-05,2009,6,June,5,15,Friday,4,23,Afternoon,steveo51,@1capplegate I hope your bottom is o.k.  .Do u write back to your fans?Its like pulling teeth with some stars!your fan!,0,Negative,0.8065,Positive,119,21,0,1,0,Apple
2063759370,2009-06-07 03:58:06,2009-06-07,2009,6,June,7,3,Sunday,6,23,Night,colstewart,"@clairey67 nice  how was the fry up?off to the Apple shop, then maybe a brew n cake !!!!!",1,Positive,0.6083,Positive,89,18,0,1,0,Apple
2178741141,2009-06-15 08:08:23,2009-06-15,2009,6,June,15,8,Monday,0,25,Morning,RenBlink182,*sighs* vruce springstenn in the apple shop  its cheering me up just a tad,1,Positive,0.5106,Positive,74,14,0,0,0,Apple
2188189775,2009-06-15 21:27:19,2009-06-15,2009,6,June,15,21,Monday,0,25,Evening,Nasreen_and_I,Welcome home my macbook  !! it's back from the Apple urgent care haha.,1,Positive,0.8906,Positive,70,13,0,0,0,Apple
1962461609,2009-05-29 11:04:58,2009-05-29,2009,5,May,29,11,Friday,4,22,Morning,KarlYost,@deniseNBC4 (no PB and apple time this will have to do) @andreayost  ? http://blip.fm/~79ow1,1,Positive,0.0,Neutral,92,14,1,1,0,Apple
